name,id,key,potid,potkey,units,atom_style,allsymbols,pair_style,status,symbols,elements
MO_706622909913,EAM_Dynamo_MarinicaVentelonGilbert_2013EAM3_W__MO_706622909913_000,1beec7de-f18a-4943-9dde-82ac1f441db6,2013--Marinica-M-C-Ventelon-L-Gilbert-M-R-et-al--W-3,1d38de3b-e3c6-482f-a97c-84acf5042046,metal,atomic,False,kim,active,['W'],['W']
MO_707981543254,Morse_Shifted_GirifalcoWeizer_1959LowCutoff_Na__MO_707981543254_004,c73ee951-dbaf-49b1-8069-40527a2c292d,1959--Girifalco-L-A-Weizer-V-G--Na,5866f662-95f0-4d00-aedf-0869c6b28236,metal,atomic,False,kim,active,['Na'],['Na']
MO_708495328010,MEAM_LAMMPS_JangSeolLee_2019_CaZnMg__MO_708495328010_000,NOT FOUND,,,metal,atomic,False,kim,active,[],[]
MO_710767216198,EAM_IMD_BrommerBoissieuEuchner_2009_MgZn__MO_710767216198_003,a4e7ad15-6e79-475b-a098-318b44a51443,2009--Brommer-P-Boissieu-M-Euchner-H-et-al--Mg-Zn,25ca22d1-ef58-4c65-9398-8cf65f0bb11d,metal,atomic,False,kim,active,"['Mg', 'Zn']","['Mg', 'Zn']"
MO_714772088128,DUNN_WenTadmor_2019v3_C__MO_714772088128_000,a5f73217-478a-4740-8fa7-2631429b3c55,2020--Wen-M-Tadmor-E-B--C-v3,4caef4b3-935f-47a3-854d-72167213d2f7,metal,atomic,False,kim,active,['C'],['C']
MO_716623333967,MEAM_LAMMPS_JeongLee_2020_PtC__MO_716623333967_000,NOT FOUND,,,metal,atomic,False,kim,active,[],[]
MO_720819638419,LJ_Shifted_Bernardes_1958LowCutoff_Ar__MO_720819638419_004,70bc5886-6004-4ef3-bf14-2a1b8e4cd564,1958--Bernardes-N--Ar,24c37060-bdcd-47a9-ba96-33efe0691930,metal,atomic,False,kim,active,['Ar'],['Ar']
MO_721469752060,SNAP_ZuoChenLi_2019quadratic_Si__MO_721469752060_000,57f913ad-f7e4-4a8d-ab97-6d61e3b71ff7,2020--Zuo-Y-Chen-C-Li-X-et-al--Si-qSNAP,322dbd21-ba22-46df-b076-9adb687e792a,metal,atomic,False,kim,active,['Si'],['Si']
MO_722489435928,ThreeBodyBondOrder_KDS_KhorDasSarma_1988_Si__MO_722489435928_000,92b0f2be-a065-4a42-b1e4-fdcb59c5a503,1988--Khor-K-E-Das-Sarma-S--Si,bdc61286-1cf1-4e6a-87e8-549a0b2b8a06,metal,atomic,False,kim,active,['Si'],['Si']
MO_723456820410,EAM_Dynamo_ZhouJohnsonWadley_2004_Ti__MO_723456820410_005,4cd44d1f-8f92-456b-b2ec-4b215434f35d,2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Ti,8d877089-5fc2-418e-a2b3-a1b468483690,metal,atomic,False,kim,active,['Ti'],['Ti']
