name,key,id,sourcename,sourcelink,crystalfamily,natypes,symbols,composition,a,b,c,alpha,beta,gamma,natoms
mp-1938,65e3c319-24c5-4f26-b179-55172e320d50,mp-1938,Materials Project,https://materialsproject.org/,orthorhombic,2.0,"['Al', 'O']",Al2O3,4.84693288,4.98540426,7.08994123,90.0,90.0,90.0,20.0
mp-1953,65253e2e-dc9e-429d-8852-431d32bf09e5,mp-1953,Materials Project,https://materialsproject.org/,tetragonal,2.0,"['Al', 'Ti']",AlTi,2.82410522,2.82410522,4.06471199,90.0,90.0,90.0,2.0
mp-196,97ec5442-aac9-47e5-b797-cebfa1c3ae41,mp-196,Materials Project,https://materialsproject.org/,hexagonal,2.0,"['Al', 'Co']",Al5Co2,7.6711806,7.671180600000041,7.59368281,90.0,90.0,119.99999999999982,28.0
mp-19770,99344dde-902f-4bc1-b325-0a22fae65962,mp-19770,Materials Project,https://materialsproject.org/,hexagonal,2.0,"['Fe', 'O']",Fe2O3,5.104927814999999,5.104927814999999,13.913297001828694,90.0,90.0,120.00000000000001,30.0
mp-19800,2b4ef74a-83f2-4bd7-aca3-213ee9b24056,mp-19800,Materials Project,https://materialsproject.org/,cubic,2.0,"['Fe', 'Si']",Fe11Si5,5.57801295,5.57801295,5.57801295,90.0,90.0,90.0,16.0
mp-1985,4b2e28b1-bcef-4bdc-a49b-53cd24639ce8,mp-1985,Materials Project,https://materialsproject.org/,hexagonal,2.0,"['C', 'N']",C3N4,6.45052656,6.45052655999996,2.4231399,90.0,90.0,120.00000000000023,14.0
mp-2,f2e26620-b717-4e0e-abf0-2c9570e044a5,mp-2,Materials Project,https://materialsproject.org/,cubic,1.0,['Pd'],Pd,3.9533360648839,3.9533360648839,3.9533360648839,90.0,90.0,90.0,4.0
mp-20,50f16df3-a0f4-42ca-957a-2eff643f741a,mp-20,Materials Project,https://materialsproject.org/,cubic,1.0,['Be'],Be,2.5002260217414,2.5002260217414,2.5002260217414,90.0,90.0,90.0,2.0
mp-20027,655357ce-380a-4285-8927-b974280f4144,mp-20027,Materials Project,https://materialsproject.org/,orthorhombic,2.0,"['Fe', 'P']",FeP2,2.72175865,4.95981561,5.64546987,90.0,90.0,90.0,6.0
mp-20050,7eb273a9-eb48-4301-a026-b6ff0bae2aed,mp-20050,Materials Project,https://materialsproject.org/,hexagonal,2.0,"['In', 'P']",InP3,7.522269225707,7.522269225706947,10.16123218253,90.0,90.0,120.00000000000023,24.0
mp-20066,ebc1e61f-baa4-4f40-b7b6-6b8d1084615f,mp-20066,Materials Project,https://materialsproject.org/,cubic,2.0,"['C', 'O']",CO2,5.80269872,5.80269872,5.80269872,90.0,90.0,90.0,12.0
