name,date,comment,systems
2020-02-27 Ti F Ti Cl,2020-02-27,reactive potentials,"[{'formula': None, 'elements': ['Ti', 'F']}, {'formula': None, 'elements': ['Ti', 'Cl']}]"
2020-12-14 Si Sn,2020-12-14,alloys for cooling investigations,"[{'formula': None, 'elements': ['Si', 'Sn']}]"
2020-12-17 W Ta V Cr Ti,2020-12-17,for high-entropy alloys,"[{'formula': None, 'elements': ['W', 'Ta', 'V', 'Cr', 'Ti']}]"
2020-12-28 Al N,2020-12-28,for aluminum nitride,"[{'formula': None, 'elements': ['Al', 'N']}]"
2020-12-30 Bi,2020-12-30,,"[{'formula': None, 'elements': ['Bi']}]"
2021-01-25 U Mo Kr,2021-01-25,,"[{'formula': None, 'elements': ['U', 'Mo', 'Kr']}]"
2021-03-04 Mg Si,2021-03-04,Buckingham potential,"[{'formula': None, 'elements': ['Mg', 'Si']}]"
2021-03-10 V C,2021-03-10,for vanadium carbide,"[{'formula': None, 'elements': ['V', 'C']}]"
2021-10-13 K Ta O K Nb O,2021-10-13,,"[{'formula': 'KTaO3', 'elements': ['K', 'Ta', 'O']}, {'formula': 'KNbO3', 'elements': ['K', 'Nb', 'O']}]"
2021-10-14 Cu Cr Se,2021-10-14,,"[{'formula': None, 'elements': ['Cu', 'Cr', 'Se']}]"
2022-03-01 Ag Cu Sn Ni,2022-03-01,for mechanical properties and melting studies,"[{'formula': None, 'elements': ['Ag', 'Cu', 'Sn', 'Ni']}]"
2022-03-30 O H,2022-03-30,for metal oxide reduction studies,"[{'formula': None, 'elements': ['O', 'H']}]"
2022-04-06 Si H F Si H Cl Si H Br Si H I Si H At,2022-04-06,Tersoff or Stillinger-Weber preffered,"[{'formula': None, 'elements': ['Si', 'H', 'F']}, {'formula': None, 'elements': ['Si', 'H', 'Cl']}, {'formula': None, 'elements': ['Si', 'H', 'Br']}, {'formula': None, 'elements': ['Si', 'H', 'I']}, {'formula': None, 'elements': ['Si', 'H', 'At']}]"
2022-05-28 Y Zr O,2022-05-28,,"[{'formula': 'Y2Zr2O7', 'elements': ['Y', 'Zr', 'O']}]"
2022-05-29 Fe Si B C,2022-05-29,,"[{'formula': None, 'elements': ['Fe', 'Si', 'B', 'C']}]"
2022-06-08 Cu Zr Ti Al Ni Cu Zr Ti Be Ni,2022-06-08,,"[{'formula': None, 'elements': ['Cu', 'Zr', 'Ti', 'Al', 'Ni']}, {'formula': None, 'elements': ['Cu', 'Zr', 'Ti', 'Be', 'Ni']}]"
